,Cleaned GPT-35 Conversation-Improved CV
33,"Objective: Seeking a position as a Web Designer where I can utilize my skills and experience to create intuitive and aesthetically pleasing web designs that provide a great user experience.Skills:- Developing effective interfaces- Deep understanding of UX/UI- Proficient in design tools such as Adobe XD, Figma, and Sketch- Responsive design techniques- Colour harmony and typography selection- Prototyping and testing- Ability to collaborate effectivelyExperience:Gifts&Fleurs:- Conducted competitor analysis, identified user interests, and defined target audience needs- Developed layouts for app features including onboarding, home page, catalogue, favourites, cart, and user profile- Chose soothing pastel colour palette and legible font for optimal user experienceMr.Cleaner:- Collaborated with team to develop user-friendly design for a cleaning company- Conducted competitor research, selected references, and analyzed target audience- Created user flow diagram and designed main page layout- Adapted design for different devices to ensure user-friendliness and modern aestheticA Kids Place Childcare:- Redesigned website for a kindergarten, creating wireframes and UI design- Developed clickable CTA and UI Kit for consistent design elements- Adapted site for tablets and mobile devices to enhance user experience- Used bright, playful colours to embody joy and positivity in the design, ensuring easy navigation for visitorsEducation:- Completed web design course mastering principles of designing effective interfaces- Studied theory and practice of UX/UI design to create intuitive web designs- Familiar with web design tools such as Adobe XD, Figma, and Sketch- Implemented responsive design techniques for optimal display on various devices and screen sizes"
34,"Experienced UI/UX designer with a portfolio of 4 completed projects, showcasing both individual and teamwork abilities. Skilled in competitor analysis, wireframing, design, UI-kit creation, and prototyping. Strong communication skills demonstrated through active participation in project completion. Projects include:1) Matcha Tea Website: Created an engaging and simplistic website through various stages of development.2) HealthyLife Web Service (team project): Designed a user-friendly platform connecting users with quality healthcare providers.3) FloverLover Landing Page: Developed a customer acquisition platform for a flower delivery service, including catalog, pricing, and reviews.4) Tattoo Studio Landing Page: Designed a modern and visually appealing website for a tattoo studio, capturing the essence of the brand.Seeking opportunities to continue creating innovative and user-centric designs, while providing valuable insights into competitor analysis and target audience research. Thank you for considering my profile."
35,"Graphic designer""Etere"" from 11.2022 to 05.2023- Developed printed products (booklets, business cards, flyers, etc.) for promotions or exhibitions- Created infographics, presentations, icons, logos, web banners for the company website and banners for social networks- Designed advertisements for online and printed magazines- Created exhibition standsOnline Store ""Profline"" from 05.2021 to 02.2022- Created corporate style and redesigned the existing logo- Designed banners for social media and landing pages in Figma- Conducted UX research including analysis of target audience, surveys, UserFlow, UserMap, and various infographics- Designed business cards, flyers, and other promotional materials- Conducted product photography and editing, video creation and editing, and created animations for banners and websitesAchievements:- Completely updated the banner for the company's website at ""Etere""- Made a stand design for NAB show 2023 and other exhibitions at ""Etere""- Created infographics for all company products at ""Etere""- Increased the number of clicks on banners by 25% at Online Store ""Profline""- Achieved a 20% increase in landing page conversion at Online Store ""Profline""- Added about 1,000 new product photos and increased repeat orders through a loyalty program implementation at Online Store ""Profline"" I am interested in developing myself in the role of a UI/UX designer and am seeking opportunities for professional skill development, working in a project team, creative self-expression, support and mentorship, and career growth opportunities in this field."
36,"Graphic Designer • FreelanceMar 2017- Oct 2019- Designed logos for various brands, including a children's swimming club.- Developed sticker packs for printing and digital use in messengers such as Telegram.AR Mask Creator • FreelanceAug 2019- May 2020- Created AR masks for companies and bloggers for Instagram, including animated and 3D object masks.UI/UX Designer • FreelanceAug 2021- Present- Redesigned existing products and created new product designs from scratch.- Developed Design System components such as patterns, colors, typography, and iconography.- Conducted market and target audience research, analyzed website usability, and developed strategies for usability improvement and conversion increase.- Analyzed existing interfaces on the market, prototyped layouts, implemented UX-writing, designed visual interfaces, animations, and micro-interactions."
37,"Experienced UI/UX and Graphic Designer with a background in Advertising, focused on meeting customer needs and successfully completing tasks.1 year of experience as a UI/UX Designer and 4+ years as a Graphic Designer. Responsibilities include developing interfaces from scratch with Figma, creating User Personas, CJM, User Flow, designing wireframes and prototypes, utilizing knowledge of Material design and iOS Human interface guidelines, creating adaptive versions of websites, and producing 2D animations in Adobe After Effects.Projects:- Mobile App for video consultation with doctors 24/7- Landing page for online driving school- Adaptive website for home quest boxesSeeking to further improve skills and contribute to creating innovative products in a dynamic team environment."
38,"UI/UX Designer ResumeProject ExperienceRedesign for Mainsail Realty Company • Led the redesign of real estate company website to enhance functionality and visual appeal, resulting in increased user engagement and lead generation.• Conducted competitor analysis, created wireframes, and developed a modern, responsive website that reflects the company's brand and values.Landing Page for Flower Delivery ""Flower Lover""• Designed a landing page to promote a new bouquet delivery service.• Conducted competitor analysis, created moodboards, wireframes, and implemented the design.Web Service for Cleaning Services - Full Cycle Design• Led a team project to create a web service for hiring cleaning company employees.• Conducted competitor research, facilitated team brainstorming, developed user personas, user flow diagram, CJM, wireframe, and final design.• Managed organizational issues as Team Lead.I am a responsible and creative UI/UX designer with expertise in designing landings, websites, and mobile apps. I excel in full cycle design, from analysis to implementation, and thrive in team environments. I am seeking a Junior UI/UX Designer role in a company with strong corporate ethics and the opportunity to work remotely."
39,"Experience:- Redesigned a tattoo salon website to improve customer traffic by studying competitors and conducting analysis- Developed a web service to help owners find lost pets faster by allowing users to filter ads by all available information and matching lost and found animals within a given search radius- Created an application for booking tables in restaurants with functions such as choosing seating preferences, number of guests, additional services, and payment options- Implemented various learning approaches to provide a structured and comprehensive chemistry education programSkills:- Proficient in Figma, Adobe Illustrator, Protorype, and Adobe Photoshop- Experience in mobile, web, responsive design, and logo design- Attention to detail and strong design aesthetics- Ability to set and achieve goals- Strong team player with a positive attitude towards criticism and a passion for continuous learningAvailability: Full-time or remote position."
40,"OksanaJunior UI/UX DesignerSuccessfully completed 6-month courses at Go-IT company with practical knowledge in UI/UX design, Web, and Mobile design. Specializes in UI/UX design for web and mobile applications. Responsible for designing user-friendly sites with clear navigation, intuitive interfaces, selecting fonts, backgrounds, icons, logos, animations, and banners. Analyzes user behavior to improve existing sites and create new projects.Projects:- Kindergarten website redesign: Redesigned outdated site to attract young parents and meet preschool education needs by conducting competitor research and implementing successful solutions.- HOME for GUEST app: Designed a user-friendly website for a web service that allows users to change their environment by working or staying in a new place, similar to couch-surfing.Seeking a company for professional growth and development."
41,"Team Leader - Project CleanUpGraphic and UI/UX Designer with a passion for designing logos and websites. Skilled in redesign, research, personas, moodboards, adaptation, and Figma Smart Animate. Proficient in Figma, Adobe Illustrator, and Adobe Photoshop.Custom Concepts:Redesigned an existing tattoo studio website, incorporating new colors, fonts, CTA button identity, and a more functional FAQ section. Utilized Figma, Adobe Illustrator, and Adobe Photoshop.CleanUp Project:Collaborated on a group project to create a user-friendly web resource for cleaning services. Involved in full design process from analysis to adaptation. Developed user interface, design concepts, and full linking. Utilized Figma, Adobe Illustrator, and Adobe Photoshop.AnabioZ:Guideline development for a men's gift shop, including logo creation and application across various devices and signs. Proficient in Adobe Illustrator and Adobe Photoshop.Seeking opportunities with a company where I can continue to learn and grow while contributing to successful project outcomes with a results-oriented approach and commitment to meeting deadlines."
42,"Experience:Junior UI/UX Designer at GoIT (start your career in IT) - 6 months- Responsible for prototyping, web design, and applying UI/UX principles- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, and Canva- Experience in creating wireframes, prototypes, and design systems- Skilled in information architecture and understanding of UX principles- Conducted UX research to improve user experiencesSkills:Hard skills:- Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Canva- Wireframes, prototypes- Understanding of UX principles- Design Systems, UI-Kit - Information architectureSoft skills:- Curiosity- Empathy- Creative- Attentive to details- Critical thinking- Communication skillsProject: ApartEase - a rental apartment web service- Designed an adaptive UI kit for the platform- Conducted analysis and created user flows for optimal user experience- Developed minimum viable product (MVP) and customer journey maps (CJM)- Created wireframes using Adobe Photoshop and Figma to visualize designsGoal:Seeking a position in a progressive company to collaborate on creating innovative and impactful products that resonate with users and exceed market standards."
43,"Hello, I am a Junior UI/UX designer with a passion for creating effective and high-quality user experiences. My recent completion of courses in UI/UX design has equipped me with the basics of interface design, color theory, typography, and other essential skills in the field. I am inspired by new technologies and industry trends, and I am dedicated to continuous learning and growth in UI/UX design.Project Experience:- Redesign of an Indian restaurant website: Led the full cycle design process to create a mobile-friendly website with improved usability, resulting in increased customer acquisition.- Turnabout Travel Booking Web-Service: Collaborated with a team to conduct competitor analysis, create personas, develop wireframes, and design a platform for renting housing.- Rest Book Mobile Application: Worked in a team to conduct competitor analysis, create personas, and design a mobile application for booking tables in a restaurant.I am a creative individual who enjoys designing websites and mobile applications, and I am currently focusing on UI/UX design to further develop my skills. I have experience creating a landing page for a barbershop in Kyiv, redesigning an Indian restaurant website, and designing web services and mobile applications for housing reservations and restaurant table bookings. I am enthusiastic about exploring new technologies and expanding my knowledge in the field."
44,"- Junior UI/UX Designer with over 3 years of experience in IT recruitment, providing a strong understanding of SDLC and IT-business processes.- Completed the course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more', focusing on UI/UX, Figma, design theory, and CSS/HTML.- Mentored by a senior UI/UX designer to analyze mistakes and enhance learning process.- Designed two pet projects:  - Mobile application for Djinni platform  - Bill-split mobile application- Currently working on new pet-project and seeking first commercial project as UI/UX designer for long-term cooperation. Will not consider projects from Russian/Belarusian customers."
45,"Hi, I am a UI/UX designer with experience in creating website designs for online shops. I have experience in joint development of websites, purchasing domains and hosting, and connecting to payment systems. I have successfully increased sales for my clients. I have 20 years of experience as a furniture and interior designer, along with client communication skills. I completed my training at ""Alpaca - Tech & Digital School"" and currently work as a freelancer. I have experience working with Ukrainian brands and am proficient in Figma, Photoshop, Illustrator, Webflow, HTML, and CSS. My skills include target audience research, sitemap creation, user mapping, UIKIT, wireframing, prototyping, and knowledge of hierarchy, color, and typography. I am seeking to join a team of professionals to further develop my skills and contribute to the team's success."
46,"Experienced UI/UX designer with a background in graphic design seeking a full-time position. Completed web designer courses at KAMA and participated in design marathons from IT schools. Freelancing experience includes designing a landing page for Employment Abroad agency, involving creating a brief, terms of reference, prototype, and interface design. Skilled in creating landing pages, adaptive design for mobile and web interfaces, basic animation in Figma, prototyping, and UI kits.Graphic designer with 4 years of experience, specializing in social media content support, creatives for targeting, prepress preparation of printing materials, catalog layout and design, photo retouching, website redesign, and graphic content creation. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Tilda."
47,"Project Experience:- Led the ""Webservice"" project, creating a medical web service and implementing website redesign- Managed the complete design cycle for a product platform- Oversaw the redesign of a sports bar website, focusing on updated visuals and user-friendly interface, including features for table reservations, fully optimized for tablets and mobile phonesCurrent Position:- UI/UX Designer with a focus on improving skills and constant learning- Experience in advertising, printing products, and managing full-scale advertising projects- Dedicated to collaborating with a friendly and innovative team on exciting projects"
48,"Experience:- Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, for his speech to the mayors of Ukraine's large cities to promote digital transformation.Skills:- Proficient in Figma, including auto-layout, components, variants, styles, plugins, animation, and prototyping.- Proficient in Webflow, including CMS, responsive design, animations, publishing, and integrations.- Experience in creating UI kits and working with design systems.- Strong visual skills validated by previous manager and Projector mentor.- Experience in stakeholder and user interviews.- Experience in user testing.- Basic knowledge of HTML/CSS and Bootstrap.- Detail-oriented with the ability to generate and propose ideas.Domains Worked In:- UI: clothes shop (web and mobile app), dentistry, public transport app, electronic document management system.- UX and UI: pizza delivery, recruitment & job board sites.Objective:Seeking a Junior UI/UX Designer position in a supportive team with a mentor to assist me in developing and gaining experience."
49,"Projects Experience- PetDetective – WebserviceA platform that helps owners of lost pets find them faster. Conducted competitor analysis, user interviews, and created a service with valuable information on finding lost animals.- Cucina di Catharina – Website redesignRedesigned the website for a traditional Italian gravy company. Implemented a new structure, added high-quality photos, and improved user experience with a CTA button.- Mobile app PresentPerfectDesigned a mobile app for personalized gift-giving. Utilized Material Design System, conducted competitor analysis and user interviews, and created a detailed user flow with over 40 screens.- Dashboard for IT schoolDeveloped a dashboard for an IT school to display key metrics for students and teachers.- Landing page Timeless HomeCreated a welcoming landing page for a watch company, focusing on user experience and guiding visitors towards making a purchase or desired action.Skills: Proficient in Figma and Adobe Photoshop, with experience in designing landings, websites, and mobile apps. Strong team player, problem solver, quick learner, and good communicator.Objective: Seeking internship or job opportunities in UI/UX design to further develop my skills and contribute to creating intuitive user interfaces. Passionate about positive user experiences and dedicated to continuous learning and growth."
50,"- Managed teams of 10-25 employees onboard Royal Caribbean and Celebrity Cruises ships as Head of Department in the Photo operation- Drove financial and employee satisfaction results by adjusting marketing strategies to meet business needs- Responsible for welcoming and acclimatizing new staff members smoothly- Dealt with customer service issues in the Photo Gallery to ensure guest satisfaction- Communicated professionally with ship’s officers, department heads, and shore side management- 3 months internship in IT company specialized in Shopify web development- Seeking stable HR-related position at a company that values human capital, willing to start at entry-level position with room for growth."
51,"Summary:Experienced in project management through a start-up venture, involving communication with stakeholders, market analysis, and project documentation. Skilled in organizing events and projects with international organization AIESEC. Proficient in project management, coding, and various technologies.Experience:- Project Management: Led a start-up venture with groupmates focused on creating a smart weather station for paragliders. Successfully pitched projects and secured investments from stakeholders before the project was disrupted due to external circumstances.- AIESEC Member: Organized events and projects with international organization AIESEC, collaborating with individuals from diverse cultural backgrounds.Skills:- Project Management- Market Analysis- Communication- Event Organization- Coding- Technology Proficiency"
52,"Education:- Bachelor's and Master's degree in graphic/web design from Kharkiv National Economic University named after S. KuznetsExperience:Layout Maker Trainee, Kharkiv NewsOct 2021 - Nov 2021- Prepared layouts for printing- Processed illustrative material- Placed materials on the pages of the newspaperContent Manager, COZI.UAAug 2020 - Sept 2020- Organized and conducted photo shoots- Created photo/video content- Wrote scripts to communicate with clientsWeb and Graphic Designer, LOGOVOFeb 2019 - May 2020- Developed corporate identity- Designed printed products- Prepared files for printing- Developed sites on WordPress- Created banners for advertisingSkills:- Proficient in CSS and HTML markup languages- Strong ability to plan, communicate effectively, and solve problems quickly- Experience in developing corporate identity and printed materials- Organizational skills and ability to engage in organizational processes- Successful history of working with clients and managing projects from start to finish"
53,"Trainee/Junior Project Manager | Qualified InterpreterTrainee/Junior Project Manager with 1 year of experience in end-to-end delivery of commercial projects utilizing best Agile practices (Scrum and Lean).Experienced interpreter with 2 years of interpretation work in military, IT, and humanitarian settings.Successfully managed a team of 6 translators and technical consultants to deliver maintenance documentation projects for high-value equipment, resulting in significant lead time reduction and accurate instruction of technical content.Possess strong communication skills with stakeholders at all levels, along with critical thinking, analytical, prioritization, and decision-making abilities in fast-paced and high-pressure environments."
54,"• Promoted from pharmacist to head of pharmacy after 2 years of work.• Managed busy schedules and sales plan leading to a 10% increase in annual revenue.• Trained and supervised technicians and sales assistants for smooth pharmacy operations.Trainee Project Manager (Pet Project)IT School IAMPM Project Management CoursesMarch 2022 to August 2022 (6 months)• Developed a detailed project plan to track progress.• Utilized appropriate verification techniques to manage changes in project scope, schedule, and costs.• Conducted risk management to minimize project risks.• Created and maintained comprehensive project documentation.• Experience with tools: Miro, Product Plan, Jira, Confluence, Trello.Private entrepreneur/Senior Sales ManagerWomen's clothing chainAugust 2019 to February 2022 (2 years, 6 months)• Customized customer experiences to build brand loyalty.• Supervised work of contracted employees to deliver work on schedule.• Met schedule through excellent planning and coordination skills.• Explored and created new methods to resolve problems with processes, technology, or team members to enhance overall efficiency.Head of PharmacyPharmacy Chain ""Gamma-55""July 2014 to August 2019 (5 years)• Safely administered immunizations, travel medicine, medication therapy management, and other specialty programs.• Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.• Collaborated with healthcare professionals to monitor and evaluate medicine therapy quality and effectiveness.• Trained and supervised technicians and sales assistants for smooth pharmacy operations."
55,"Resume:Education:- Radiotechnical Systems EngineerExperience:TRENDOAccount ManagerJuly 2022 - Present- Communication with foreign clients- Analyzing advertising campaigns- Reporting to clients- Leading sprint meetings with the project team- Assigning tasks and deadlines to the project team- Implementing tasks in accordance with the kanban methodology- Setting up sites with GTM- Setting up Universal and GA4 analytics- Customizing conversions for Google Ads- Customizing Google Merchant rules and optimizing- Optimizing ShopifyZEZMANJunior Project Manager/Junior Business AnalyticsSeptember 2021 – April 2022Odessa, Ukraine- Creating schedules and collecting documents for project orientation- Communicating with stakeholders about scheduling, staffing, and technical requirements- Organizing work of the Business Analytics Unit- Planning large-scale projects in digitalization and implementation of electronic document management- Supporting in the implementation and optimization of business processesORCSSDAdministrative Manager (Project sphere)July 2020 - September 2021- Creating schedules and collecting documents for projects- Translating metrics into actionable intelligence- Managing expectations and tracking risks and benefits- Communicating with stakeholders about scheduling, staffing, and technical requirements«Vs Project»Junior Technical Project ManagerFebruary 2020 - April 2020- Full project life cycle ownership- Ensuring projects are proceeding according to scope, schedule, budget, and quality standardsGovernment ProjectsTrainee Project ManagerOctober 2019 - December 2019- Planning, managing, and monitoring project execution- Delivering projects on-time and within budget"
56,"-Kyiv National Linguistic University (KNLU), Kyiv (Bachelor), from 2009 to 2013.Degree: philology, specialist of translations (English).-Kyiv National Linguistic University (KNLU), Kyiv (Master- Diploma with honours), from 2013 to 2014.Speciality: “Translation (English) - Master of Arts (Translation), philologist, interpreter- translator of the English and the Spanish languages.Additional education and certificates:• Certificate of completion of the Course “Deeply Practical Project Management” by William Stewart PhD, PMP (2019)• Certificate of the Kyiv Advertising School in the specialty “Event Management” (2015)• «The First State Courses of Foreign Languages» Certificate (English).• Certificate of participation in the ""Days of reading of the novel "" Don Quixote "", signed by José Rodríguez Moyano, the Ambassador of the Kingdom of Spain in Ukraine (2012).• Certificate of the 1st place in the translation of poetry competition during the Days of the Spanish language.• Certificate of participation in the 1st Ukrainian scientific and practical conference of young scientists.• Tutor of the English (from 2008) and the Spanish (from 2012) languages.• Freelancer.Project Management (several web projects).Interpreter of English and Spanish.Cooperation with the Luxe Cube brand company.Cooperation with Spanish private individuals.• Translation agency ""Antey"". From 2012 to 2016.Translation of texts of different thematic areas, interpretation, translation of documents from / into English and Spanish.• NEOGENIA Ltd. From 2016 (January) to 2017 (August).Customer service manager. Interpreter/translator of Spanish and English. Medical coordinator. Operations Management.Medical coordination, consultation and support of foreign clients at clinics and hospitals. Correspondence and communication with foreign clients, translation of texts (including medical documentation). Support of clients, consecutive interpreting, business negotiations, visa support, sales management.• “IVF- GROUP” LLC, International Department of “MOTHER AND CHILD” Medical Center. From 2017 (September) to present.Operations Manager. Manager of International Affairs. Interpreter/translator of Spanish and English. Customer service manager.Medical program coordination, consultation and support of foreign clients at clinics and hospitals. Correspondence and communication with foreign clients, translation of texts (including legal and medical documentation). Support of clients, consecutive interpreting, business negotiations, sales management. Program Coordination Manager.SKILLS• Customer Operations Manager, Conflict Management (over 4 years)• Project Management: basic understanding of web application development flow, control systems, project pre-sale, project estimations, costs, task management.• PM Methodology Experience: Scrum, Agile, Canban• PM Platforms: Jira, Trello, YouTrack• Experience in working with G-suite• Basic Knowledge: ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10."
57,"Ukrainian Corporate Governance Academy (UCGA) MAR 2021 - NOV 2022Position: Project Manager & CEO Assistant- Tracking project progress and participating in daily meetings- Planning scope and schedule for projects- Organizing and managing meetings for current and new initiatives- Assisting the team with ongoing tasks during projects- Documenting resources required to achieve project objectives- Conducting research for initiatives- Optimizing and managing organizational spending- Preparing meeting follow-ups and presentations- Leading reporting to the board of directors on completed tasks- Conducting retrospectives with the team- Monitoring and maintaining long-term goals of the companyDattalion (Volunteering) Data Collection Team Lead & Operations Manager- Developing, implementing, and reviewing operational policies and procedures, as well as writing data collection guidelines- Onboarding new data collection managers- Monitoring compliance with internal regulations and overseeing data collection processes- Formulating strategic and operational objectives and performing quality controls while monitoring KPIs- Collaborating with partners, donors, co-founders, and other managers- Participating in weekly meetings to understand project status and needs- Leading, motivating, and supporting the team to maintain a positive environment- Identifying and addressing project problems and opportunities- Managing budget usage and conducting budget reviews, reporting cost plans to upper management- Reviewing and approving all operational invoices, ensuring timely submission for paymentHCM International Ltd., Researcher & Analyst JAN 2019 - FEB 2022"
58,"SCIENTIFIC CHRONICLE  June 2012 – Graduated from the State Flight Academy of Ukraine with a Bachelor's degree.  December 2012 – Passed the ICAO English and Phraseology exam at the 4th level.  December 2012 - June 2013 – Conducted research in Air Traffic Management focusing on ""Patterns of activity of operators in the system of air navigation services in case of delays.""  July 2013 – Graduated from the Kirovograd Flight Academy of the National Aviation University of Ukraine with a Specialist degree (equivalent to a Master's degree).  July 2015 – Passed the TOEFL iBT with a scaled score of 86 (Intermediate level).  September 2015 – Enrolled in Beihang University of Aeronautics and Astronautics specializing in Navigation, Guides, and Control.  May 2016 – Coauthored a conference paper with Zheng Shuai-Yong titled “An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle.”  December 2016 – Received a scholarship prize at Beihang University for outstanding behavior and participation in activities.  January 2017 - Developed ideas including: Micro drone flights in urban areas in China, Altitude Control For Micro Small Drones Flying At The Low Altitudes Of The National Airspace, and Offline Local Maps Creation For Micro Drones for commercial use.  June 2017 – Published a book “Introduction to Multicopter Design and Control” under Professor Quan Quan's supervision.  October 2017 – Invited to an International Conference to present a paper on ""Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace.""  November 2017 – Participated in the experiment project ‘Comparison of using 2D-scanning lasers to camera sensors for light UAV obstacle detection and avoidance.’  January 2018 – Appointed as the Head of Education Department at Beihang University.  March 2018 – Intern at TUS HOLDING Ltd.  Languages: Ukrainian and Russian (native), English (Advanced - TOEFL 96, ICAO 4), Chinese (HSK3, ongoing studies), Spanish (pre-intermediate).  ADDITIONAL SKILLS  Operational systems: iOS, Windows, Linux; Computer programs: MS Office, Mac Office; Task operational programs: Mantis, Leader Task; Graphic editors: Photoshop, Corel; 3D printing applications: 3D Max, Cura, Meshmixer; Computer languages: HTML, SQL, Matlab, Python; Knowledge of file sharing and cloud systems; Knowledge of office equipment; Social networks: Facebook, Twitter, Instagram, Wechat."
59,"- Obtained two high educations- Achieved Cambridge certificate- Successfully led and motivated a team of individuals facing challenges- Proficient in working with and motivating large groups of individuals to achieve success- Transitioned to a new profession with determination and pride, overcoming any obstacles- Secured 2nd place in project management competition despite lacking an IT background- Co-founder of a startup mobile app- Experienced IT English teacher, key client manager, PR manager, content writer, copywriter, and translator- Proficient in Agile philosophy and modern IT project management methodologies including Scrum, Kanban, Scrumban, and Waterfall- Knowledgeable in organizational effectiveness and SDLC- Skills in using JIRA, Trello, ROADMAP, and other project management tools- Experienced in creating and executing project plans, managing day-to-day operations, maintaining documentation, organizing people and projects, conducting trainings, and negotiation- Cambridge English C1 proficiency- Seeking to work in a supportive and enthusiastic team environment that values continuous learning and innovation - Interested in collaborating with passionate professionals who are eager to explore new technologies and embrace knowledge - Seeking a company that recognizes and rewards hard work and dedication, providing opportunities for growth and development."
60,"• Successfully implemented various projects within budget and time constraints• Managed multiple projects simultaneously, delegating tasks to staff and ensuring task completion• Worked with diverse projects and clients, expanding my professional knowledge and skills• Improved efficiency and productivity in work• Demonstrate self-organization as a remote employee• Developed skills in project management processes and development lifecycle• Effectively communicated with clients, managed customer expectations, and gathered necessary information• Wrote and maintained project documentation and identified client requirements• Coordinated project timelines and tasks with clients• Prioritized tasks and coordinated team efforts for successful project completion• Conducted preliminary testing on completed tasks and built strong customer relationships• Skilled in communication, conflict resolution, and task management• Proficient in project management methodologies and tools, including Waterfall, Agile, Kanban, Scrum, Microsoft Office, WordPress, Trello, and Slack• Possess strong interpersonal skills, motivation to learn and improve, and ability to thrive in a fast-paced environmentLooking for a new opportunity as a Project Manager in the IT industry to further develop my skills and contribute to exciting projects."
61,"Education:- Diploma of a junior specialist in a technical specialty, focusing on practical tasks and projects to gain real-world experience with hardware and software.- Participated in student competitions, gaining valuable experience in teamwork and problem-solving.- Emphasis on learning new technologies and acquiring knowledge in a field requiring technical competence.Skills:- Strong ability to learn new technologies quickly and efficiently.- Excellent teamwork and problem-solving skills developed through student competitions.- Proactive in independent study of programming, web design, and other technological skills.- Effective communication and organizational skills acquired through volunteer activities.Additional Information:- Actively participated in volunteer activities, acquiring skills of cooperation, communication, and organization.- Independently studied programming, web design, and other technological skills to enhance project development.- Engaged in online courses and webinars related to personal interests to deepen knowledge and skills."
62,"- Made a presentation of the project Kidsatschool with a better result than expected- Developed two pet projects (individual and team collaboration):   UrbanUtopia: Party application that aggregates questionnaires for youth and teenagers to find suitable parties or events, organize their own parties or events, receive party updates through various platforms, and avoid mistakes with party themes and types of pastime- Created project documents including Project Mind Map, WBS Mind Map, Road Map, Backlog, Project Data, Critical Path, Estimates, Ground Rules, Team Building Activities, Questions for Candidates, Techniques and Technologies for Managing Project Layout, PM Reports, Project Risks, Client Questions, RACI, Schedule Tracking Tools, SCRAM Events, SOW, Stakeholder Register, Team Schedule Management Plan, General Budget, FP Schedule+Cost, Test Plan, Project Closing Checklist- Completed all required project documentation"
63,"I'm a creative mind, agile, goal-oriented specialist with 3+ years of experience in social media marketing, video production, and creative project management.Skilled in developing social media strategies for businesses and concepts for content calendars based on trends and a creative approach.Able to manage and prioritize multiple projects in a fast-paced environment. Team player with strong relationship and time management skills.Video production (freelance)2021-2022- Produced videos for 25+ businesses (restaurants, real estate, educational institutions, fashion, etc.), 50+ private events, and 10+ stock footage in collaboration with video operator.- Script writing and concept development for videos.- Provided market research, tracked trends, and boosted engagement via video on clients' social media platforms.- Handled transparent communication with clients.- Managed budget for projects.Houston Pub2020-2021- Developed marketing strategy and branding in collaboration with a graphic designer.- Produced marketing roadmap and managed a team of 4 (designers, photographer, video operator).- Social media management.- Communicated with target audience, grew Instagram audience, and boosted engagement.- Managed budget."
64,"Vinnytsia IT Academy (Internship Project Manager)- Prepared TR of the project and fixation of requirements- Organized team meetings- Assigned tasks to team members- Controlled work with tasks- Prepared reports for customer and organization meetingsTaurus-Group (Project Manager/Account manager)- Accompanied clients at all stages of the logistics process- Controlled payments, prepared reports, customs, and delivery documentation- Accompanied company on all web projects- Prepared presentations for webinars- Organized webinarsSkillmePro (Project Manager)- Prepared project documentation for various team members- Assigned tasks and monitored their implementation- Controlled payments and prepared project reports- Prepared presentations for webinars- Organized webinarsKNB-Studio (Kornienko-studio) Assistant to Project Manager, Account manager- Accompanied studio clients at all stages of the project- Prepared project documentation for various team members- Assigned tasks and monitored their implementation- Determined deadlines for tasks and controlled deadlines- Coordinated work with clients and protected studio's solutions- Controlled payments, prepared project reports, and processed feedback from clients- Participated in team meetings and project discussions- Organized recruitment process for the studio- Conducted interviews and internships"
65,"Vogue Hotel Supreme Bodrum, Turkey	   Assistant Manager2020 - 2022- Planned, organized, and managed day-to-day administrative activities including schedules, reports, surveys, performance reviews, and staffing- Made decisions on methodological, administrative, and financial issues- Conducted inventory of goods in warehouse- Gathered, analyzed, and monitored attendance data- Conducted candidate search, attraction, selection, and interviewingRainier Transportation Inc LogisticHR Manager in American Logistic Company2019 - 2020- Conducted driver search, attraction, and selection for transportation of goods- Posted information about vacant positions in the media- Conducted candidate interviews - Collected necessary documents and entered them into the system- Handled difficult situations during loading and unloading- Provided telephone supportVogue Hotel Supreme Bodrum, Turkey	   Chief for Attendants2015-2016; 2018-2019- Managed animator duties- Organized day-to-day activities and schedules- Provided staff training and mentoring- Handled HR administrationBeauty Salon, UkraineDirector2017 - 2018- Developed name, logo, and marketing strategies- Created loyalty programs- Found suppliers of consumables- Managed accounting- Handled HR administration- Maintained customer base- Managed cash flow- Resolved problemsStartUp «Babyliss», UkraineProject Manager2016 - 2017- Maintained primary documentation- Developed name, logo, and marketing strategies- Found fabric suppliers- Developed prints on clothes- Formulated costs- Controlled subordinates' duties- Managed HR administrationLLC «ERGOTEK», LLC «DREAM FOODS», «FISHMATIK», UkraineAccountant2012 - 2015- Complied with director's instructions- Managed specialized accounting software package Microsoft Office- Handled cash flow management - Controlled banking operations- Managed HR administration- Prepared financial reports for management- Managed accounting and tax accounting- Controlled support of foreign trade activities- Handled reconciliation and settlements with suppliers and customers- Maintained primary documentation - Analyzed accounts receivable and payable."
